caseid,weight_genpop,weight_oversample,applicant2_treat,party_treat,program_treat,turnout20post,PRES_2020_why_1,PRES_2020_why_2,PRES_2020_why_3,PRES_2020_why_4,PRES_2020_why_5,PRES_2020_why_6,PRES_2020_why_7,PRES_2020_why_8,PRES_2020_why_9,PRES_2020_why_10,PRES_2020_why_11,PRES_2020_why_12,PRES_2020_why_13,PRES_2020_why_14,PRES_2020_why_other,presvote20post,presvote20post_t,turnout16,PRES_2016_why_1,PRES_2016_why_2,PRES_2016_why_3,PRES_2016_why_4,PRES_2016_why_5,PRES_2016_why_6,PRES_2016_why_7,PRES_2016_why_8,PRES_2016_why_9,PRES_2016_why_10,PRES_2016_why_11,PRES_2016_why_12,PRES_2016_why_13,PRES_2016_why_14,PRES_2016_why_other,presvote16post,presvote16post_t,AID_app_1,AID_app_2,AID_app_3,AID_app_4,AID_app_5,AID_app_6,AID_app_7,AID_app_8,AID_app_9,AID_app_10,AID_app_11,AID_app_12,AID_app_13,AID_app_14,AID_app_15,AID_app_16,AID_app_17,AID_app_18,AID_benefits_1,AID_benefits_2,AID_benefits_3,AID_benefits_4,AID_benefits_5,AID_benefits_6,AID_benefits_7,AID_benefits_8,AID_benefits_9,AID_benefits_10,AID_benefits_11,AID_benefits_12,AID_benefits_13,AID_benefits_14,AID_benefits_15,AID_benefits_16,AID_benefits_17,AID_benefits_18,COVID,GEOID,GEOFREE,GOV1,PRD1,PRD2,PRD3,PRD4,PRD5,GOV2,SE1,SE2,SE3,SE4,FT_REP,FT_REP_dk_flag,FT_DEM,FT_DEM_dk_flag,FT_WELFARE,FT_WELFARE_dk_flag,FT_AID,FT_AID_dk_flag,FT_BLACK,FT_BLACK_dk_flag,FT_WHITES,FT_WHITES_dk_flag,FT_BUREAU,FT_BUREAU_dk_flag,FT_TRUMP,FT_TRUMP_dk_flag,FT_BIDEN,FT_BIDEN_dk_flag,APP_1_amt_1,APP_2_amt_1,STATE_amt_1,FT_PROG_1,FT_PROG_1_dk_flag,PARTICIPATE_PROG,VOTE_GOV,REELECT_GOV,birthyr,gender,race,educ,marstat,employ,faminc_new,household_size,lowinc,lowinc_borderline,child18,pid3,pid7,inputstate,inputzip,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1775448495,0.81009922381979,NA,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,near a city,5,4,3,3,4,4,4,3,4,3,3,14,0,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,2,0,99,0,750,750,0,4,0,5,5,5,1951,1,1,6,1,1,11,2,2,NA,2,1,1,33,3820,2,1,1,1,12,2,2,2,7,2022-04-07T00:32:11Z,2022-04-07T00:43:11Z
1775447725,1.02461782925438,NA,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,6,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,1,Live outside of city limits on 5 acre lot.,4,6,2,2,6,6,6,4,5,2,3,60,0,27,0,50,0,56,0,50,0,50,0,12,0,41,0,32,0,900,600,0,NA,1,1,1,5,1944,1,1,6,1,5,9,2,2,NA,2,3,5,16,83858,5,1,4,1,1,1,1,1,1,2022-04-07T00:27:23Z,2022-04-07T00:43:40Z
1775447663,1.30369481727139,NA,7,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,2,"Located away from downtown, in a semi-rural area but in a tract home. Less traffic and friendly neighbors.",1,5,5,2,6,6,1,2,2,2,2,51,0,1,0,12,0,12,0,90,0,90,0,5,0,90,0,1,0,700,700,100,NA,1,4,1,4,1952,1,1,5,3,5,4,2,2,2,2,3,5,48,76262,3,1,4,1,1,5,2,3,2,2022-04-07T00:26:51Z,2022-04-07T00:44:34Z
1775448813,0.860068423830349,NA,5,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,We are larger than a small town but not really a suburb.,2,5,1,1,5,6,3,3,2,2,2,4,0,82,0,100,0,100,0,100,0,52,0,28,0,1,0,81,0,750,750,0,25,0,6,1,6,1942,1,1,6,1,5,9,2,2,NA,2,1,1,19,52761,3,1,1,1,1,2,2,1,2,2022-04-07T00:34:11Z,2022-04-07T00:44:35Z
1775447127,1.19788282602793,NA,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,Living on the outskirts of a large city,2,2,3,3,3,3,3,2,3,4,2,32,0,75,0,48,0,51,0,54,0,65,0,43,0,4,0,75,0,750,750,0,76,0,2,2,2,1953,2,1,5,3,5,5,1,2,NA,2,1,1,55,53224,3,1,3,2,11,6,2,3,5,2022-04-07T00:23:35Z,2022-04-07T00:45:10Z
1775448199,0.949318208222447,NA,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,quiet area,4,4,3,3,5,4,3,3,4,3,3,71,0,35,0,NA,1,51,0,51,0,51,0,NA,1,65,0,12,0,701,208,591,6,0,6,1,6,1963,2,1,3,1,2,11,2,2,NA,2,2,6,33,3848,4,1,3,3,2,5,2,2,6,2022-04-07T00:30:30Z,2022-04-07T00:48:20Z
1775449167,1.22154079593818,NA,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,"Living in my log home on 11 acres of lakefront property, followed by living in a 100 acre condo complex on Michigan's 3rd largest lake with access to Lake Michigan",1,5,3,3,5,5,2,2,3,2,2,80,0,6,0,13,0,28,0,23,0,27,0,11,0,79,0,5,0,750,750,0,2,0,1,1,6,1944,1,1,6,1,5,12,2,2,NA,2,2,6,12,32163,3,1,4,1,2,4,2,2,6,2022-04-07T00:36:29Z,2022-04-07T00:49:46Z
1775450125,1.19536186331932,NA,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,"I do not live in a city area, nor in the outskirts of the city. I live more than 10 miles from a city in a country setting",4,6,2,2,6,6,3,1,6,2,2,19,0,99,0,99,0,86,0,79,0,82,0,6,0,7,0,96,0,871,475,154,53,0,3,1,4,1948,2,1,5,6,5,3,2,1,NA,2,1,1,21,40351,5,1,3,2,1,3,1,1,1,2022-04-07T00:39:42Z,2022-04-07T00:50:21Z
1775448601,0.366241054855332,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,Living with no neighbors close to where I live.,1,3,4,4,5,2,2,2,2,3,2,100,0,2,0,14,0,7,0,51,0,100,0,1,0,100,0,1,0,401,399,700,54,0,4,2,2,1948,1,7,4,1,2,3,3,1,NA,2,2,7,12,32084,5,1,5,1,1,5,1,1,3,2022-04-07T00:32:51Z,2022-04-07T00:50:47Z
1775448825,1.62021755797292,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,"landscape, less traffic, community",5,5,4,2,6,4,5,1,5,1,1,100,0,2,0,51,0,51,0,100,0,100,0,2,0,100,0,3,0,550,350,600,2,0,3,6,6,1955,2,1,6,1,1,11,2,2,NA,2,2,7,48,76208,4,1,5,1,2,2,1,1,1,2022-04-07T00:34:19Z,2022-04-07T00:50:58Z
