name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
carrie,white,F,95.22,1.048,2.264,1.216,0.126,0.126,3.659106,2.372948,2.568136,2.252119,1.090969859
cary,white,M,90.78,1.418,2.128,4.965,0,0.709,3.718934,2.551693,2.185181,2.346849,1.167240318
casey,white,M,95.317,0.607,1.561,2.342,0.087,0.087,3.921655,2.595736,2.357675,2.209247,1.325918918
cassandra,white,F,75.725,2.748,20,1.527,0,0,3.091667,2.866898,2.946952,2.337659,0.14471497
catherine,white,F,93.319,1.555,2.341,2.563,0.154,0.068,3.80325,2.666131,2.433508,2.296833,1.137119181
cathy,white,F,91.756,2.047,3.071,2.909,0.054,0.162,3.912395,2.447238,2.227385,2.262016,1.465156505
cecil,white,M,79.141,1.534,17.485,1.534,0,0.307,3.290216,2.920566,2.501537,2.365171,0.369650522
cecilia,hispanic,F,48.011,37.358,2.273,12.074,0.142,0.142,3.163676,2.629503,3.328248,2.456195,0.164572289
cedric,black,M,27.273,0,62.121,9.091,0,1.515,2.538267,3.52784,2.526932,2.16871,0.989573014
celeste,white,F,83.463,5.943,5.943,4.393,0.258,0,3.261718,2.967056,2.607155,2.380225,0.294662146
celia,hispanic,F,51.275,40.793,2.833,4.816,0,0.283,3.155742,2.902054,3.271118,2.284769,0.115376653
celina,hispanic,F,36,57.333,2.667,4,0,0,2.707162,2.678874,3.319302,2.3602,0.612139583
cesar,hispanic,M,7.048,83.847,0.147,8.957,0,0,2.572234,2.391921,3.584757,2.313868,1.012522459
chad,white,M,97.716,0.444,0.793,0.825,0.19,0.032,3.960637,2.613713,2.240406,2.257781,1.346923934
chandra,black,F,57.216,1.031,12.371,28.866,0.515,0,2.525627,3.435959,2.552638,2.291295,0.883321543
charlene,white,F,86.21,1.595,9.568,2.064,0.188,0.375,3.88436,2.750315,2.251638,2.14222,1.134044656
charles,white,M,91.379,1.23,5.547,1.494,0.16,0.191,3.878605,2.901476,2.308011,2.297785,0.977129543
charlie,white,M,54.372,7.104,23.224,15.027,0.273,0,3.797186,2.866516,2.373873,2.542137,0.930670005
charlotte,white,F,89.495,1.363,6.897,1.363,0.401,0.481,3.746979,2.785877,2.298847,2.332481,0.961102566
chelsea,white,F,95,1.538,1.154,2.308,0,0,3.846693,2.666063,2.448006,2.234443,1.180629662
cherry,white,F,63.529,1.176,11.765,20,2.353,1.176,3.167167,2.904198,2.425693,2.429801,0.262968714
cheryl,white,F,92.764,0.659,5.224,1.099,0.085,0.169,3.868084,2.723129,2.459177,2.10769,1.144954695
chester,white,M,85.714,0.739,8.867,4.187,0.493,0,3.845424,2.608784,2.44547,2.198336,1.236640248
chris,white,M,91.68,2.2,1.6,4.28,0.12,0.12,3.568243,2.99745,2.276858,2.628361,0.570792656
christian,white,M,85.064,10.794,1.833,1.969,0.068,0.272,3.820605,2.736703,2.96917,2.544837,0.851434759
christina,white,F,88.524,6.349,1.773,2.947,0.264,0.144,3.646153,2.649841,3.076547,2.536984,0.569606004
christine,white,F,93.444,1.904,1.386,3.097,0.06,0.108,3.939685,2.510905,2.534351,2.459719,1.405333972
christopher,white,M,94.544,1.786,1.998,1.401,0.125,0.144,3.824983,3.127088,2.333414,2.328647,0.69789542
christy,white,F,94.651,1.242,1.146,2.674,0,0.287,3.787287,2.38372,2.57223,2.53575,1.215056424
chuck,white,M,80,0.87,0.87,17.391,0,0.87,3.931073,2.685474,2.128478,2.146203,1.245599204
cindy,white,F,89.747,3.343,0.854,5.906,0.111,0.037,3.794522,2.54451,2.25406,2.472534,1.250011926
clara,white,F,60.233,20.233,14.884,4.651,0,0,3.630425,2.56209,2.807822,2.288499,0.822603259
clarence,white,M,67.129,0.416,27.462,4.438,0.277,0.277,3.362459,3.151965,2.245459,2.209388,0.210493426
claudia,white,F,64.054,30.784,3.697,1.02,0.191,0.255,3.334934,2.755237,2.747541,2.402819,0.579696336
clayton,white,M,93.613,0.336,2.689,2.689,0.336,0.336,3.413854,3.035846,2.136679,2.204721,0.378007825
cleveland,black,M,37.209,0,60.465,2.326,0,0,2.707476,3.068933,2.129578,2.131471,0.361456907
clifford,white,M,90.561,0.255,5.782,3.316,0.085,0,3.370411,2.900552,2.110721,2.106449,0.469859856
clifton,white,M,74.928,0.865,20.749,2.305,0.288,0.865,3.556238,3.025212,2.273829,2.288669,0.531025447
clinton,white,M,88.218,0.604,9.215,1.813,0,0.151,3.80902,3.069598,2.117852,2.131677,0.739421934
clyde,white,M,83.23,1.035,11.801,3.313,0.414,0.207,3.692446,3.07585,1.997362,2.063796,0.616595579
cody,white,M,96.781,0.604,1.207,1.006,0.201,0.201,3.814145,2.457213,2.245006,2.334183,1.356932232
colleen,white,F,97.789,0.592,0.711,0.671,0.197,0.039,3.629292,2.541506,2.274704,2.348294,1.087785803
connie,white,F,89.976,3.236,2.013,4.578,0.118,0.079,3.76124,2.60894,2.492098,2.544345,1.152299497
consuelo,hispanic,F,14.286,75.824,1.648,8.242,0,0,2.180338,1.994626,3.875198,2.139563,1.694860741
corey,white,M,89.42,0.46,8.188,1.288,0.276,0.368,3.587435,2.899527,2.591964,2.328413,0.687908267
corina,hispanic,F,60,35.652,1.739,2.609,0,0,2.972672,3.090374,3.148622,2.55572,0.058248529
cornelius,black,M,68.613,1.46,29.197,0.73,0,0,3.069166,3.101746,2.557865,2.167138,0.032580517
cornell,black,M,27.027,5.405,64.865,0,0,2.703,2.827428,3.197835,2.568195,2.322486,0.370407349
cory,white,M,94.566,0.627,2.821,1.776,0.104,0.104,3.649096,2.814682,2.22215,2.429283,0.834414079
courtney,white,F,92.969,0.083,5.624,0.827,0.165,0.331,3.754081,2.590845,2.127086,2.221097,1.163236094
craig,white,M,96.296,0.374,2.151,1.029,0.019,0.131,3.812272,2.623946,2.226295,2.299474,1.188326202
cristina,white,F,50.649,36.92,1.299,10.946,0,0.186,3.52864,2.530711,2.876687,2.50242,0.651952268
cruz,hispanic,M,2.778,97.222,0,0,0,0,2.552295,2.230249,3.333203,2.400581,0.780907787
crystal,white,F,82.32,5.041,10.014,2.072,0.138,0.414,3.560077,3.105763,2.681268,2.379872,0.454314322
curtis,white,M,85.774,0.571,10.903,2.129,0.104,0.519,3.300978,2.981732,2.055568,2.2286,0.319245657
cynthia,white,F,89.131,3.773,4.88,1.941,0.11,0.165,3.712156,2.812542,2.577072,2.292199,0.899614155
daisy,white,F,29.057,36.981,10.943,22.264,0,0.755,3.748223,2.685062,2.455965,2.33793,1.063160951
dale,white,M,96.415,0.489,1.858,1.043,0.098,0.098,3.561272,2.393604,2.273804,2.127588,1.167667207
damaris,black,F,20.339,72.881,1.695,1.695,1.695,1.695,2.184788,3.49093,2.704147,2.130783,0.786783818
damian,black,M,72.851,18.1,7.24,1.81,0,0,3.108014,3.151182,2.918644,2.325432,0.043168005
damon,black,M,79.157,2.342,14.52,3.279,0.234,0.468,3.204444,3.402703,2.672163,2.310382,0.198259222
dan,white,M,87.21,1.795,1.122,9.648,0.224,0,3.893381,2.456067,2.314082,2.430738,1.437313629
dana,white,F,94.941,0.751,3.427,0.685,0.098,0.098,3.590054,2.71761,2.641093,2.202052,0.872444898
daniel,white,M,90.491,6.189,1.15,1.859,0.172,0.139,3.776694,2.527293,2.479489,2.715564,1.06113023
danielle,white,F,93.064,1.927,4.383,0.385,0.241,0,3.651516,2.734316,2.9329,2.41745,0.718616612
danny,white,M,79.774,5.801,3.542,10.318,0.257,0.308,3.716595,2.58816,2.813757,2.345436,0.902838174
