name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
fabian,hispanic,M,23.009,66.372,7.08,3.54,0,0,2.77757,2.411591,3.158125,2.200228,0.38055443
fatima,black,F,48.592,21.127,7.042,21.127,1.408,0.704,2.456236,3.314575,3.074206,2.615359,0.240369041
federico,hispanic,M,15.385,75,0.641,8.333,0,0.641,2.258266,2.492169,3.849811,2.213694,1.357642671
felecia,hispanic,F,31.915,2.128,65.957,0,0,0,2.795894,2.859178,2.994077,2.260503,0.134898827
felicia,hispanic,F,56.027,7.589,33.259,2.455,0.446,0.223,2.900361,2.86822,3.385204,2.349032,0.48484311
felipe,hispanic,M,3.632,90.557,0.726,4.6,0.484,0,2.302884,2.307368,4.013319,2.598706,1.414613545
felix,white,M,27.579,55.952,6.944,9.127,0.397,0,3.340413,2.658985,3.31829,2.271605,0.022122942
fernando,hispanic,M,14.852,78.637,0.61,5.799,0.102,0,2.428815,2.389732,4.127873,2.2015,1.699057108
fidel,hispanic,M,4.52,90.395,1.13,3.39,0.565,0,2.418775,2.141237,3.653451,2.166555,1.234676213
flora,hispanic,F,46.961,24.309,11.05,17.68,0,0,3.103928,2.815695,3.200214,2.439069,0.096286107
florence,white,F,75.248,1.98,13.861,8.515,0.396,0,3.518516,2.740833,2.601432,2.341544,0.777683714
floyd,white,M,82.834,0.998,12.974,2.595,0.2,0.399,3.55873,3.005048,2.231473,2.125422,0.553682008
frances,white,F,83.81,6.96,5.726,2.962,0.247,0.296,3.546726,2.363405,2.845411,2.300351,0.701314676
francis,white,M,88.269,2.271,3.075,6.197,0.095,0.095,3.570725,2.703333,2.842714,2.213968,0.728010686
francisca,hispanic,F,7.576,82.828,4.04,5.556,0,0,2.608543,2.379784,3.784071,2.296533,1.1755283
francisco,hispanic,M,8.652,87.898,0.159,3.291,0,0,2.514066,2.213358,3.7187,2.423036,1.204634002
frank,white,M,86.855,7.003,2.904,2.859,0.287,0.091,3.761221,2.781035,2.560765,2.405931,0.980185849
frankie,white,M,67.598,10.615,15.642,5.587,0.559,0,3.841796,2.597211,2.785582,2.135277,1.056213153
franklin,white,M,74.827,8.99,9.129,6.639,0.138,0.277,3.479374,2.847656,2.501717,2.200414,0.631717707
fred,white,M,87.874,3.892,4.738,3.046,0.169,0.282,3.665779,2.730628,2.260333,2.09372,0.935150709
freddie,white,M,44.393,12.617,36.449,5.607,0,0.935,3.585201,3.031737,2.86844,2.520154,0.553463739
freddy,white,M,26.829,62.602,6.504,4.065,0,0,3.585128,2.890979,3.021506,2.308587,0.563621557
frederick,white,M,89.487,0.918,6.675,2.67,0.083,0.167,3.360972,2.806091,2.562169,2.03663,0.554880997
gabriel,white,M,45.956,49.286,2.188,2.284,0,0.285,3.342288,2.758504,3.141457,2.249999,0.200830763
gabriela,hispanic,F,36.395,62.585,0.34,0,0.34,0.34,3.070104,2.740571,3.830933,2.421103,0.760828723
gail,white,F,93.473,0.573,4.16,1.641,0,0.153,3.771993,2.924888,2.24655,2.133559,0.847105001
garrett,white,M,92.437,1.261,2.311,3.782,0.21,0,3.525904,2.958829,2.138123,2.187897,0.567075816
gary,white,M,95.396,0.799,1.68,1.903,0.091,0.132,4.167964,2.580379,2.272751,2.213511,1.587585722
genaro,hispanic,M,3.488,90.698,0,5.814,0,0,2.207861,2.771934,3.455774,2.33053,0.683839823
gene,white,M,89.862,1.267,4.378,4.147,0.115,0.23,3.695838,2.719631,2.216884,2.681625,0.976207768
geoffrey,white,M,95.779,0.938,0.844,2.345,0,0.094,3.607661,2.763307,2.240921,2.394411,0.844354172
george,white,M,86.945,4.708,4.891,3.088,0.194,0.173,3.819251,2.86318,2.859326,2.832299,0.956071069
georgina,white,F,48.876,41.573,6.742,2.247,0.562,0,3.298368,2.882977,2.981408,2.438121,0.316960174
gerald,white,M,93.373,1.247,3.671,1.408,0.162,0.139,3.593595,2.727454,2.199197,2.363455,0.866140908
gerardo,hispanic,M,8.458,86.235,0,5.307,0,0,2.39251,2.416195,3.590455,2.017929,1.174260096
german,white,M,15.584,81.818,0.649,1.948,0,0,2.981857,1.975437,2.399493,2.011571,0.582363787
gilbert,white,M,56.757,32.947,4.633,5.148,0.386,0.129,3.426292,2.392109,2.464644,2.21176,0.961648467
gilberto,hispanic,M,7.458,91.864,0.339,0.339,0,0,2.273857,2.253985,3.737545,1.994318,1.463688149
gina,white,F,90.301,3.814,2.542,3.202,0.094,0.047,3.540077,2.682205,2.811595,2.369289,0.728481886
gladys,white,F,41.704,34.081,18.834,5.381,0,0,3.374265,2.794708,2.380179,2.162559,0.57955621
glenda,white,F,81.477,6.008,9.512,2.503,0.375,0.125,3.445904,2.708268,2.527914,2.220179,0.737636416
glenn,white,M,91.994,0.715,3.074,3.753,0.179,0.286,3.640011,2.457341,2.312169,2.158808,1.182670033
gloria,hispanic,F,55.342,26.926,12.5,4.76,0.218,0.254,3.154771,2.800375,3.231257,2.429634,0.076486658
gonzalo,hispanic,M,6.25,92.788,0,0.962,0,0,2.060773,2.022138,3.813537,1.956132,1.752764433
gordon,white,M,92.966,0.435,1.668,4.423,0.363,0.145,3.621064,2.596955,2.103981,2.387311,1.024109022
grace,white,F,64.965,6.602,6.338,21.919,0.176,0,3.725084,2.522569,2.717528,2.515804,1.007555536
graciela,hispanic,F,14.063,85.547,0.391,0,0,0,2.013658,2.683645,3.819715,2.218133,1.136069806
grant,white,M,96.102,0.269,0.806,2.823,0,0,3.941492,2.589937,2.097064,2.182271,1.351555007
greg,white,M,94.907,1.354,1.483,2.063,0.064,0.129,3.916227,2.741987,2.605706,2.234156,1.174239715
gregorio,hispanic,M,8.805,76.73,0.629,13.836,0,0,2.930102,2.620378,3.39203,1.877307,0.461927924
gregory,white,M,93.965,1.068,3.871,0.896,0.086,0.114,3.767377,2.6816,2.3387,2.353368,1.085777279
griselda,hispanic,F,7.895,86.842,1.754,3.509,0,0,2.747509,2.873671,3.214296,2.317543,0.340625686
guadalupe,hispanic,F,4.748,94.807,0,0.445,0,0,2.108637,2.134195,3.940452,2.21541,1.725041979
guillermo,hispanic,M,6.273,90.959,0,2.583,0,0.185,2.047153,2.40781,3.80035,2.244074,1.392539998
gustavo,hispanic,M,9.129,90.249,0.207,0.415,0,0,1.932971,2.111282,3.705681,2.224383,1.481297748
guy,white,M,93.439,1.018,2.828,2.262,0,0.452,3.842712,2.423428,2.333109,2.257937,1.419284495
gwendolyn,white,F,54.18,1.125,43.087,1.125,0,0.482,3.336301,2.809838,1.872641,2.062204,0.526463187
hank,white,M,78.571,0,0,21.429,0,0,3.890278,2.392314,2.347444,2.301678,1.49796432
hanna,white,F,67,2,8,23,0,0,3.509008,2.324449,2.622837,2.481308,0.886170136
hannah,white,F,81.726,1.269,3.553,12.944,0.254,0.254,3.84279,2.454673,2.426354,2.279825,1.388116491
harold,white,M,88.846,2.222,6.966,1.538,0.299,0.128,3.778871,2.86639,2.376399,2.04655,0.912480649
harrison,white,M,67.442,2.326,19.767,9.302,1.163,0,3.914627,2.857451,2.212005,2.152181,1.057176558
harry,white,M,88.309,1.849,4.84,4.568,0.272,0.163,3.829752,2.468815,2.258,2.285569,1.360936518
heather,white,F,97.397,0.896,0.896,0.517,0.138,0.155,3.934471,2.518567,2.41874,2.484999,1.415903681
hector,hispanic,M,5.495,92.703,0.45,1.351,0,0,2.580639,2.498027,3.873581,2.379404,1.292941741
heidi,white,F,97.16,0.87,0.366,1.466,0.137,0,3.76583,2.205984,2.293964,2.353031,1.41279931
helen,white,F,79.345,3.309,6.8,10.036,0.145,0.364,3.776484,2.673762,2.40594,2.578925,1.102721982
henry,white,M,66.425,10.116,9.101,14.068,0.073,0.218,3.853906,2.824822,2.546138,2.413195,1.029084614
herbert,white,M,82.131,3.229,11.302,2.691,0.538,0.108,3.917418,2.623514,2.63225,2.355541,1.285168301
heriberto,hispanic,M,7.746,91.549,0,0.704,0,0,2.166009,2.456272,3.957765,2.310708,1.501492848
herman,white,M,56.098,10,23.171,10.732,0,0,3.393344,2.903109,2.653507,2.285025,0.490235649
hilda,white,F,40,53.158,3.947,2.368,0,0.526,3.299955,2.585246,2.729817,2.31059,0.570137866
holly,white,F,97.382,0.591,0.507,1.394,0.042,0.084,3.795993,2.215795,1.943723,2.234698,1.561294331
hope,white,F,83.446,5.743,9.797,1.014,0,0,3.74818,2.680184,2.534862,2.388634,1.067995839
horace,hispanic,M,54.194,1.29,41.935,1.935,0,0.645,3.012912,2.809268,3.331747,2.287662,0.31883433
howard,white,M,89.154,0.575,5.755,4.338,0.089,0.089,3.714139,2.760027,2.13063,2.187458,0.95411231
huey,white,M,29.73,0,18.919,51.351,0,0,3.366579,2.680306,2.560346,2.519417,0.686272742
hugo,hispanic,M,17.021,81.383,0,1.596,0,0,2.905994,2.465982,3.133381,2.387671,0.227386406
humberto,hispanic,M,5.431,92.971,0.958,0.639,0,0,2.122492,2.29287,4.167747,2.139855,1.874877365
huy,asian,M,0.909,0,0,99.091,0,0,2.008359,2.454931,2.734849,3.843702,1.108853704
ian,white,M,93.166,0.779,2.855,2.855,0,0.346,3.546438,2.52986,2.477348,2.525668,1.01657791
ida,white,F,64.103,13.187,15.018,6.593,0.733,0.366,3.145927,2.722924,2.791198,2.343067,0.354728412
ignacio,hispanic,M,7.229,90.06,0,2.711,0,0,2.385369,2.519203,3.782715,2.059254,1.263511863
imelda,hispanic,F,16.022,49.724,2.21,31.492,0.552,0,2.436306,2.860327,3.683084,2.33418,0.82275682
irene,white,F,71.136,16.85,3.81,7.985,0.073,0.147,3.746856,2.484307,2.548842,2.134549,1.198013865
iris,white,F,53.388,27.371,10.569,7.588,0.542,0.542,3.406853,2.551736,2.531953,2.408773,0.855116799
irma,white,F,20.3,73.71,3.827,2.163,0,0,3.112803,2.607145,2.937233,2.403848,0.175570201
isaac,white,M,52.283,25.114,16.21,5.708,0.457,0.228,3.484798,3.030951,2.387713,2.234865,0.453846941
isabel,hispanic,F,33.875,60.557,0.696,4.64,0.232,0,3.228203,2.587584,3.43233,2.373516,0.204126538
isaiah,black,M,40,9.091,49.091,1.818,0,0,3.126062,3.503404,2.728027,2.136445,0.377342973
isidro,hispanic,M,5.769,89.744,0,4.487,0,0,2.120937,2.353435,3.43985,2.45127,0.988579379
ismael,black,M,8.027,88.294,0,3.679,0,0,2.75659,3.093096,2.816722,2.29512,0.276374502
israel,black,M,22.968,72.438,2.827,1.413,0.353,0,2.531238,2.785565,2.654623,2.225174,0.130941365
ivan,white,M,60.364,28.151,4.902,6.583,0,0,3.588934,2.426496,2.586415,2.347134,1.002518985
ivette,white,F,37.879,57.576,3.03,1.515,0,0,3.065533,2.982032,2.923128,2.153571,0.083500755
ivy,white,F,50.649,6.494,14.935,26.623,0,1.299,3.280027,2.937827,2.436263,2.40108,0.342199766
jack,white,M,93.298,1.045,0.984,4.211,0.215,0.246,3.934029,2.575316,2.294657,2.308686,1.358713107
jackie,white,M,87.711,1.928,4.819,4.578,0.482,0.482,3.566081,2.953742,2.734404,2.696575,0.612338843
jackson,black,M,66.026,3.205,11.538,19.231,0,0,2.740991,3.406401,2.170289,2.226038,0.665409886
jacob,white,M,91.845,3.007,1.631,3.211,0.153,0.153,3.649208,2.706976,2.434104,2.327143,0.94223182
jacqueline,white,F,80.318,5.635,11.863,1.833,0.135,0.216,3.270616,2.965944,2.739655,2.391408,0.304672252
jacquelyn,white,F,86.331,2.014,10.791,0.719,0.144,0,3.266088,2.81552,2.573408,2.216919,0.45056776
jade,white,F,78.495,2.151,4.301,15.054,0,0,3.137796,2.926492,2.717518,2.996865,0.140930685
jaime,white,M,44.971,49.327,0.448,4.933,0.128,0.192,3.467797,2.716281,3.019609,2.354061,0.448188341
jake,white,M,88.827,2.793,2.793,5.587,0,0,4.092227,2.415765,2.462838,2.314764,1.629388523
jamal,black,M,49.485,3.093,27.835,18.557,0,1.031,2.08422,3.716652,2.448815,2.314583,1.267837043
james,white,M,94.016,1,3.279,1.472,0.116,0.118,3.656625,2.989082,2.653674,2.32711,0.667543784
jamie,white,F,94.467,2.012,1.576,1.643,0.168,0.134,3.725424,2.637692,2.672076,2.354585,1.053348053
jane,white,F,93.968,0.88,0.984,3.779,0.181,0.207,3.947143,2.467071,2.070046,2.419978,1.480072441
janet,white,F,93.153,2.041,2.575,1.963,0.126,0.141,3.605088,2.760085,2.36593,2.429115,0.84500288
janice,white,F,90.845,1.077,6.022,1.714,0.171,0.171,3.506542,2.83665,2.386298,2.474827,0.669891514
janie,white,F,74.394,8.997,10.727,4.844,1.038,0,3.765593,2.657659,2.330517,2.525826,1.107933608
jared,white,M,96.25,1.167,1.083,0.667,0.25,0.583,3.562193,2.917354,2.252814,2.386471,0.644838203
jarvis,black,M,46.512,0,51.163,2.326,0,0,2.539942,3.021997,2.859133,2.04524,0.16286395
jasmin,black,F,55.714,15.714,5.714,22.857,0,0,2.887364,3.342075,2.922972,2.968358,0.373716999
jasmine,black,F,44.595,10.811,22.297,21.622,0,0.676,3.022199,3.324255,2.991481,2.804547,0.302055987
jason,white,M,93.542,1.667,1.574,2.861,0.161,0.195,3.754147,2.648545,2.5575,2.249284,1.105602829
javier,hispanic,M,4.895,94.505,0,0.5,0.1,0,2.289184,2.663873,3.832983,2.046691,1.169109844
jay,white,M,91.962,1.41,0.838,5.219,0.267,0.305,3.451486,2.858696,2.440305,2.648801,0.592790441
jayson,white,M,85.393,2.809,1.685,9.551,0.562,0,3.308501,2.946576,2.462227,2.455146,0.361925225
jean,white,F,87.361,1.492,7.567,3.228,0.163,0.19,3.65532,2.621103,2.252755,2.149708,1.034216524
jeanette,white,F,83.406,5.908,8.688,1.651,0.261,0.087,3.724943,2.901067,2.647523,2.264488,0.823875944
jeanne,white,F,96.388,0.568,0.98,1.909,0.155,0,3.802881,2.716181,2.205098,2.314766,1.08670084
jeannie,white,F,82.952,4.58,1.272,10.941,0,0.254,3.748451,2.499613,2.532471,2.464161,1.215979869
jeff,white,M,95.218,0.884,0.572,3.067,0.156,0.104,3.8302,2.716349,2.185495,2.24056,1.113850363
jeffrey,white,M,96.739,0.69,1.022,1.315,0.109,0.125,3.807496,2.805942,2.400343,2.325383,1.001553668
jennie,white,F,79.908,6.697,2.54,9.931,0.462,0.462,3.62067,2.466192,2.666075,2.555209,0.954594724
jennifer,white,F,94.436,1.943,1.199,2.216,0.072,0.134,3.86269,2.781482,2.783156,2.411775,1.079534018
jenny,white,F,69.216,7.255,0.686,22.549,0,0.294,3.786407,2.65266,2.284169,2.575817,1.133746488
jeremiah,black,M,92.339,1.815,4.032,1.411,0,0.403,3.307006,3.310079,2.447163,2.047598,0.003073005
jeremy,white,M,96.596,1.451,1.116,0.642,0.084,0.112,3.809959,3.00976,2.162953,2.377561,0.800198856
jermaine,black,M,5.797,4.348,88.406,1.449,0,0,2.299865,4.015429,2.597851,2.237848,1.417578446
jerome,black,M,82.295,1.557,12.541,3.279,0.082,0.246,2.83709,3.654153,2.355162,2.152556,0.817063048
jerry,white,M,89.465,2.44,4.505,3.332,0.164,0.094,3.896594,2.566087,2.324594,2.41751,1.330507264
jesse,white,M,79.089,12.203,6.177,2.228,0.152,0.152,3.36861,2.956088,2.641381,2.26346,0.41252121
jessica,white,F,88.901,7.375,1.413,1.981,0.11,0.22,3.627782,2.618506,2.709793,2.493647,0.917989493
jessie,white,M,61.798,9.663,17.079,11.011,0.225,0.225,3.709295,2.663023,2.726216,2.266209,0.983079695
jessy,white,M,31.579,13.158,0,55.263,0,0,3.602558,2.769537,2.619061,2.254511,0.833021455
jesus,hispanic,M,3.904,93.155,0,2.781,0.16,0,2.023754,2.275745,4.030002,2.170109,1.75425719
jill,white,F,98.156,0.52,0.544,0.591,0.095,0.095,3.924379,2.605393,2.282777,2.342572,1.318986229
jim,white,M,82.31,4.054,1.843,11.548,0.246,0,3.777674,2.666857,2.107522,2.352149,1.110817886
jimmie,white,M,78.818,2.217,17.488,1.232,0,0.246,3.485464,2.823336,2.859245,2.297705,0.626219244
jimmy,white,M,67.456,8.21,6.879,16.79,0.518,0.148,3.76299,2.68763,2.474672,2.510134,1.07535973
jo,white,F,93.827,1.44,2.675,1.44,0.412,0.206,3.450271,2.744142,2.724322,2.532354,0.706129604
joan,white,F,94.405,0.887,3.204,1.232,0.099,0.173,3.897044,2.377244,2.360838,2.318817,1.519800369
joanna,white,F,86.85,5.403,1.835,5.708,0.102,0.102,3.542456,2.71824,2.426942,2.322642,0.824215291
joanne,white,F,92.862,1.922,1.784,3.329,0,0.103,3.744523,2.5592,2.604449,2.472218,1.140074035
joaquin,hispanic,M,9.174,85.321,0.459,4.128,0.917,0,2.630422,2.913928,3.314592,2.210968,0.400664134
jocelyn,white,F,62.751,3.438,10.888,22.35,0,0.573,3.261534,2.6806,2.738411,2.5026,0.523123709
jodi,white,F,97.108,0.761,0.304,1.522,0.152,0.152,3.697813,2.641746,2.392166,2.434889,1.056066959
joe,white,M,69.013,18.57,6.874,5.155,0.222,0.166,3.856263,2.712256,2.592363,2.636234,1.144006218
joel,white,M,84.459,11.435,1.934,2.002,0.102,0.068,3.570971,2.603175,2.569118,2.577457,0.967796391
joey,white,M,77.627,8.136,2.373,11.864,0,0,3.702259,2.439762,2.703284,2.302521,0.998974704
john,white,M,94.384,1.729,1.729,1.932,0.124,0.101,3.969451,3.08383,2.572542,2.464633,0.885621839
johnathan,white,M,81.868,3.297,9.341,5.495,0,0,3.736466,2.728667,2.505366,2.237525,1.007799332
johnnie,white,M,59.211,3.289,36.184,0.329,0.658,0.329,3.686491,2.723663,2.584461,2.574718,0.962828185
johnny,white,M,60.386,13.051,13.603,12.224,0.551,0.184,3.81297,3.065677,2.733336,2.224985,0.747292474
johnson,black,M,19.231,1.282,12.821,66.667,0,0,3.091414,3.360734,2.23237,2.118789,0.269320396
jon,white,M,96.157,1.004,0.727,1.904,0.139,0.069,3.642835,2.588726,2.698364,2.574598,0.944471404
jonathan,white,M,91.835,2.492,1.912,3.51,0.078,0.172,3.73884,2.521282,2.415831,2.274799,1.217558244
jordan,white,M,96.751,1.271,0.706,0.989,0.141,0.141,3.339443,3.296054,2.508881,2.489688,0.043388855
jorge,hispanic,M,8.696,90.026,0.153,1.125,0,0,2.873132,2.484827,3.805006,2.369265,0.931874336
jose,hispanic,M,7.244,89.829,0.289,2.534,0.081,0.023,2.068974,2.276194,4.256771,2.020988,1.980576491
josefina,hispanic,F,8.772,74.386,0.351,16.14,0,0.351,2.56472,2.846092,3.691832,2.159541,0.845740394
joseph,white,M,92.139,2.936,2.553,2.12,0.144,0.108,3.673379,2.916555,2.970764,2.333898,0.702614829
josephine,white,F,69.486,11.429,8.686,9.829,0.457,0.114,3.391835,2.739218,2.812394,2.399555,0.579441427
joshua,white,M,95.722,2.063,0.909,1.098,0.133,0.076,3.733086,2.818234,2.601254,2.483451,0.914851893
josue,hispanic,M,3.922,88.235,4.902,2.941,0,0,2.26279,2.763136,4.009302,2.227715,1.246166392
joy,white,F,86.564,1.322,6.241,5.727,0,0.147,3.695849,2.995156,2.424013,2.865332,0.700692418
joyce,white,F,85.596,0.974,9.534,3.689,0.177,0.03,3.712081,2.615038,2.150967,2.52913,1.097042845
juan,hispanic,M,4.528,93.406,0.523,1.518,0.025,0,2.180867,2.451704,4.022518,2.225938,1.57081377
juana,hispanic,F,10.733,86.387,1.571,1.309,0,0,2.103795,3.026498,3.709719,2.287394,0.683220437
juanita,hispanic,F,54.954,21.827,19.659,2.477,0.31,0.774,2.350684,2.84815,4.237095,2.186933,1.388945118
judith,white,F,94.76,2.603,1.544,0.746,0.174,0.174,3.764863,2.465337,2.474507,2.241197,1.290356183
judy,white,F,90.572,1.867,2.651,4.699,0.09,0.12,3.738627,2.527445,2.252742,2.367353,1.211182252
julia,white,F,84.981,8.502,3.28,2.805,0.259,0.173,3.687907,2.367649,2.922614,2.484677,0.765292301
julian,hispanic,M,53.222,32.848,8.108,5.405,0,0.416,3.172592,2.798854,3.327179,2.52543,0.154587365
juliana,hispanic,F,70.335,14.354,3.828,11.483,0,0,3.352811,2.353997,3.635486,2.343044,0.282675521
julie,white,F,95.087,1.462,0.4,2.822,0.114,0.114,3.795826,2.378067,2.42195,2.644916,1.150910677
julio,hispanic,M,7.278,90.027,0.539,2.022,0.135,0,2.216299,2.318572,4.243172,2.140171,1.924599936
julissa,hispanic,F,18.75,81.25,0,0,0,0,2.506772,2.933134,3.105506,2.598523,0.172372011
julius,hispanic,M,53.881,6.849,27.397,10.959,0.457,0.457,2.790868,2.850836,3.238578,2.431702,0.387742166
june,white,F,84.058,1.338,6.243,8.138,0.111,0.111,3.681177,2.533993,2.213554,2.493941,1.147183563
justin,white,M,94.685,1.396,1.396,2.204,0.269,0.049,3.872822,2.590826,2.361672,2.241541,1.281995878
justine,white,F,86.058,0.962,6.731,5.769,0.481,0,3.51797,3.015927,2.231794,2.323826,0.502043279
kai,asian,M,34.058,0,2.174,62.319,0,1.449,2.471119,3.217828,2.38034,3.577695,0.359866298
kara,white,F,96.539,0.716,1.313,1.193,0.119,0.119,3.73654,2.891064,2.647785,2.644238,0.845475273
karen,white,F,94.706,1.167,2.456,1.516,0.074,0.081,3.865363,2.573321,2.322848,2.428243,1.292041078
karina,hispanic,F,41.262,54.854,1.942,1.456,0,0.485,3.044289,2.552562,3.128679,2.552495,0.084389889
karl,white,M,93.737,0.704,2.815,2.604,0.07,0.07,3.614956,2.960302,2.32613,2.331902,0.654654104
karla,white,F,80.233,14.535,4.302,0.581,0,0.349,3.387188,2.646119,2.699333,2.388138,0.687855451
katelyn,white,F,90.476,0,0,9.524,0,0,4.015226,2.452857,2.363673,2.191622,1.562369236
katherine,white,F,94.252,1.833,1.562,2.187,0.083,0.083,4.039448,2.434638,2.414319,2.390559,1.604810757
kathleen,white,F,97.654,0.773,0.515,0.837,0.092,0.129,4.043941,2.502517,2.12897,2.253036,1.541423559
kathryn,white,F,97.225,0.975,1.017,0.636,0.042,0.106,4.021133,2.45033,2.333248,2.254314,1.570803475
kathy,white,F,93.017,1.731,2.186,2.81,0.142,0.114,4.001709,2.799811,2.366756,2.28259,1.201898261
katie,white,F,94.505,0.541,2.252,2.523,0,0.18,4.183773,2.527596,2.304369,2.334395,1.656177304
katina,white,F,68.493,0,31.507,0,0,0,3.190011,3.042805,2.984435,2.619563,0.147206472
katrina,white,F,81.918,2.044,13.522,1.572,0.157,0.786,3.587389,2.686038,2.914965,2.459284,0.672423918
kay,white,F,91.851,1.006,3.119,3.823,0.101,0.101,3.844423,2.663292,2.065873,2.580324,1.181130743
kayla,white,F,92.857,1.587,1.984,3.571,0,0,3.625053,2.797335,2.50696,2.256168,0.827718125
keisha,black,F,25,2.5,72.5,0,0,0,2.418293,3.738304,2.436087,2.339149,1.302216902
keith,white,M,92.957,0.637,4.531,1.601,0.091,0.182,3.899249,2.8369,1.904125,2.104312,1.062349219
kelli,white,F,95.795,0.455,2.727,0.568,0.227,0.227,3.609798,2.675229,2.319968,2.331253,0.934569365
kelly,white,F,96.814,0.707,0.707,1.538,0.139,0.097,3.860399,2.765626,2.268133,2.291638,1.094772913
kelvin,white,M,28.448,5.172,40.517,25.431,0.431,0,3.237409,3.015066,2.239438,2.384295,0.222342702
ken,white,M,71.695,0.847,1.356,26.102,0,0,3.981001,2.768204,2.326733,2.676416,1.212796659
kendra,black,F,91.064,0.426,7.234,0.638,0.213,0.426,3.032402,3.120834,2.267326,2.487923,0.088432298
kendrick,black,M,54.286,0,37.143,8.571,0,0,2.825599,3.330935,2.322995,2.096273,0.505335851
kenneth,white,M,92.305,1.064,4.224,2.168,0.088,0.152,3.605373,2.788979,2.16607,2.267419,0.816394788
kenny,white,M,54.885,2.874,4.023,37.356,0.287,0.575,3.575272,2.787944,2.35823,2.448014,0.787327555
kent,white,M,93.19,0.345,1.81,4.569,0,0.086,3.936572,2.589702,2.261161,2.34997,1.346869884
kenya,black,F,22.917,2.083,70.833,0,0,4.167,2.482107,4.278271,2.068983,2.374935,1.796164324
kevin,white,M,92.962,0.816,2.836,3.237,0.061,0.088,3.709887,2.942518,2.12573,2.71606,0.767368924
kim,white,F,84.508,0.776,4.409,9.78,0.155,0.373,3.57451,2.727543,2.457228,3.189612,0.384898185
kimberly,white,F,93.982,1.09,3.756,0.892,0.104,0.176,3.698791,2.676133,2.221199,2.517081,1.022657612
king,black,M,12.5,3.125,9.375,71.875,1.563,1.563,2.636421,3.195916,2.390821,2.281412,0.559494824
kirk,white,F,95.583,0.353,2.385,1.325,0.265,0.088,3.779317,2.637557,2.048887,2.22472,1.141760101
krista,white,F,98.111,0.882,0.504,0.504,0,0,3.575072,2.634152,2.530619,2.455715,0.940919296
kristen,white,F,98.229,0.805,0.564,0.282,0.04,0.081,3.735984,2.692004,2.370099,2.297291,1.043980756
kristi,white,F,95.288,1.154,1.058,1.923,0.385,0.192,3.913504,2.781081,2.309862,2.452927,1.132423702
kristie,white,F,94.363,1.044,1.253,2.923,0.209,0.209,3.815747,2.508257,1.934279,2.641546,1.174201157
kristina,white,F,94.688,2.108,1.349,1.602,0.084,0.169,3.758565,2.65355,2.45352,2.379595,1.105014317
kristine,white,F,95.275,1.149,0.447,2.81,0.064,0.255,3.821928,2.524805,2.440868,2.355845,1.297123125
krystal,white,F,80.93,5.116,12.558,0.465,0.465,0.465,3.348572,2.856122,2.262429,2.384557,0.492450642
kurt,white,F,97.909,0.239,0.956,0.777,0,0.119,3.887578,2.538652,2.213608,2.249563,1.348925753
kyle,white,M,96.381,0.362,1.407,1.568,0.121,0.161,3.783128,2.861435,2.095154,2.432965,0.921692885
ladonna,black,F,74.468,0,24.113,0.709,0,0.709,2.698008,3.476149,2.766362,2.191231,0.709786744
lakisha,black,F,8.824,0,91.176,0,0,0,2.214419,4.122984,2.056522,2.344748,1.778235676
lamar,black,M,72,0,26.667,0,0,1.333,2.100228,3.618835,2.501565,2.182508,1.117270224
lamont,black,M,49.296,0,49.296,1.408,0,0,2.283794,3.567494,2.690631,2.175396,0.876862975
lance,white,M,93.222,1.196,2.073,2.951,0.399,0.159,4.004552,2.824123,2.338959,2.353713,1.180428642
larry,white,M,90.436,1.835,5.955,1.383,0.211,0.18,3.724982,2.84915,2.292878,2.34479,0.875831814
latanya,black,F,3.125,0,96.875,0,0,0,1.949147,3.855413,2.866307,2.100355,0.989105762
latasha,black,F,8.537,3.659,86.585,0,0,1.22,2.005557,4.052453,2.342079,1.933831,1.710374567
latisha,black,F,32.5,2.5,65,0,0,0,2.121451,4.165644,2.597465,2.355068,1.568179107
latonya,black,F,3.03,0,93.939,0,3.03,0,2.142653,4.135477,2.779245,2.111961,1.356231795
latoya,black,F,4.301,4.301,91.398,0,0,0,2.303957,3.754602,2.664278,2.010954,1.090324374
latrice,black,F,6.25,3.125,90.625,0,0,0,2.30008,3.547713,2.835762,2.132573,0.711951765
laura,white,F,92.509,5.589,0.756,0.872,0.137,0.137,3.860222,2.680879,2.528888,2.291862,1.17934272
lauren,white,F,96.238,0.962,1.4,0.962,0.175,0.262,3.892284,2.537419,2.303063,2.437751,1.354864789
laurie,white,F,97.286,1.214,0.536,0.714,0.107,0.143,3.493646,2.4323,2.483399,2.138121,1.01024705
lawanda,black,F,24.324,0,75.676,0,0,0,2.000328,3.686294,2.517325,2.00056,1.168969258
lawrence,white,M,90.854,2.205,4.191,2.489,0.109,0.153,3.505635,3.138977,2.373694,2.201381,0.366657414
lea,white,F,88.258,2.273,1.515,7.955,0,0,3.45593,2.586631,2.736732,2.687939,0.719198431
leah,white,F,92.994,1.344,2.591,2.687,0.096,0.288,3.566272,2.845936,2.568822,2.595338,0.720335776
lee,asian,M,90.308,0.961,4.445,4.165,0.08,0.04,3.392628,2.718092,2.342333,3.514855,0.122226511
